# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.191999999999999629e-03	2.022291907955730758e-02	-4.926633422769477910e+00
-8.191000000000000364e-03	1.650027006262133611e-02	-4.930359596460834659e+00
-8.189999999999999364e-03	1.277762104568535943e-02	-4.941538117534905794e+00
-8.189000000000000098e-03	1.277762104568535943e-02	-4.934085770152192296e+00
-8.187999999999999098e-03	2.022291907955730758e-02	-4.934085770152192296e+00
-8.186999999999999833e-03	-9.558273055930486747e-03	-4.922907249078121161e+00
-8.185999999999998833e-03	-5.835624038994512673e-03	-4.945264291226262543e+00
-8.184999999999999568e-03	5.332323011813411284e-03	-4.945264291226262543e+00
-8.184000000000000302e-03	-1.700357108980243490e-02	-4.945264291226262543e+00
-8.182999999999999302e-03	-5.835624038994512673e-03	-4.934085770152192296e+00
-8.182000000000000037e-03	-3.189416715754633119e-02	-4.930359596460834659e+00
-8.180999999999999037e-03	-9.558273055930486747e-03	-4.937811943843549045e+00
-8.179999999999999771e-03	-3.933946519141828108e-02	-4.926633422769477910e+00
-8.178999999999998771e-03	-3.561681617448230613e-02	-4.930359596460834659e+00
-8.177999999999999506e-03	-3.561681617448230613e-02	-4.926633422769477910e+00
-8.177000000000000240e-03	-5.423006125916218084e-02	-4.941538117534905794e+00
-8.175999999999999240e-03	-5.050741224222620590e-02	-4.937811943843549045e+00
-8.174999999999999975e-03	-4.678476322529023096e-02	-4.937811943843549045e+00
-8.173999999999998975e-03	-6.539800830997009873e-02	-4.934085770152192296e+00
-8.172999999999999710e-03	-6.539800830997009873e-02	-4.930359596460834659e+00
-8.172000000000000444e-03	-6.912065732690607367e-02	-4.937811943843549045e+00
-8.170999999999999444e-03	-7.284330634384204861e-02	-4.922907249078121161e+00
-8.170000000000000179e-03	-8.028860437771399849e-02	-4.945264291226262543e+00
-8.168999999999999179e-03	-6.912065732690607367e-02	-4.937811943843549045e+00
-8.167999999999999913e-03	-8.773390241158594838e-02	-4.919181075386764412e+00
-8.166999999999998913e-03	-9.145655142852192332e-02	-4.922907249078121161e+00
-8.165999999999999648e-03	-9.145655142852192332e-02	-4.930359596460834659e+00
-8.165000000000000382e-03	-1.100697965132017980e-01	-4.922907249078121161e+00
-8.163999999999999382e-03	-1.063471474962658231e-01	-4.945264291226262543e+00
-8.163000000000000117e-03	-1.175150945470737479e-01	-4.945264291226262543e+00
-8.161999999999999117e-03	-1.137924455301377730e-01	-4.937811943843549045e+00
-8.160999999999999852e-03	-1.212377435640097229e-01	-4.934085770152192296e+00
-8.159999999999998851e-03	-1.510189356994975085e-01	-4.934085770152192296e+00
-8.158999999999999586e-03	-1.175150945470737479e-01	-4.930359596460834659e+00
-8.158000000000000321e-03	-1.212377435640097229e-01	-4.937811943843549045e+00
-8.156999999999999321e-03	-1.324056906148176338e-01	-4.926633422769477910e+00
-8.156000000000000055e-03	-1.435736376656255586e-01	-4.934085770152192296e+00
-8.154999999999999055e-03	-1.472962866825615336e-01	-4.919181075386764412e+00
-8.153999999999999790e-03	-1.696321807841773832e-01	-4.926633422769477910e+00
-8.152999999999998790e-03	-1.435736376656255586e-01	-4.937811943843549045e+00
-8.151999999999999524e-03	-1.510189356994975085e-01	-4.919181075386764412e+00
-8.151000000000000259e-03	-1.770774788180493331e-01	-4.915454901695406775e+00
-8.149999999999999259e-03	-1.733548298011133582e-01	-4.960168985991690427e+00
-8.148999999999999994e-03	-1.621868827503054333e-01	-4.922907249078121161e+00
-8.147999999999998993e-03	-1.882454258688572579e-01	-4.941538117534905794e+00
-8.146999999999999728e-03	-1.956907239027292078e-01	-4.919181075386764412e+00
-8.146000000000000463e-03	-1.845227768519212830e-01	-4.922907249078121161e+00
-8.144999999999999463e-03	-1.994133729196651827e-01	-4.911728728004050026e+00
-8.144000000000000197e-03	-1.994133729196651827e-01	-4.922907249078121161e+00
-8.142999999999999197e-03	-1.882454258688572579e-01	-4.937811943843549045e+00
-8.141999999999999932e-03	-1.956907239027292078e-01	-4.945264291226262543e+00
-8.140999999999998932e-03	-2.031360219366011577e-01	-4.934085770152192296e+00
-8.139999999999999666e-03	-2.068586709535371326e-01	-4.922907249078121161e+00
-8.139000000000000401e-03	-2.291945650551529823e-01	-4.945264291226262543e+00
-8.137999999999999401e-03	-2.366398630890249322e-01	-4.941538117534905794e+00
-8.137000000000000136e-03	-2.403625121059609071e-01	-4.948990464917620180e+00
-8.135999999999999135e-03	-2.254719160382170073e-01	-4.922907249078121161e+00
-8.134999999999999870e-03	-2.552531081737047791e-01	-4.926633422769477910e+00
-8.133999999999998870e-03	-2.291945650551529823e-01	-4.937811943843549045e+00
-8.132999999999999605e-03	-2.403625121059609071e-01	-4.934085770152192296e+00
-8.132000000000000339e-03	-2.478078101398328570e-01	-4.937811943843549045e+00
-8.130999999999999339e-03	-2.589757571906407541e-01	-4.937811943843549045e+00
-8.130000000000000074e-03	-2.626984062075767290e-01	-4.934085770152192296e+00
-8.128999999999999074e-03	-2.701437042414486789e-01	-4.930359596460834659e+00
-8.127999999999999808e-03	-2.589757571906407541e-01	-4.930359596460834659e+00
-8.126999999999998808e-03	-2.738663532583846538e-01	-4.937811943843549045e+00
-8.125999999999999543e-03	-2.701437042414486789e-01	-4.922907249078121161e+00
-8.125000000000000278e-03	-2.813116512922566037e-01	-4.930359596460834659e+00
-8.123999999999999277e-03	-2.887569493261285536e-01	-4.922907249078121161e+00
-8.123000000000000012e-03	-2.924795983430645285e-01	-4.922907249078121161e+00
-8.121999999999999012e-03	-2.924795983430645285e-01	-4.948990464917620180e+00
-8.120999999999999747e-03	-2.924795983430645285e-01	-4.934085770152192296e+00
-8.120000000000000481e-03	-2.887569493261285536e-01	-4.926633422769477910e+00
-8.118999999999999481e-03	-3.259834394954883030e-01	-4.934085770152192296e+00
-8.118000000000000216e-03	-3.148154924446803782e-01	-4.945264291226262543e+00
-8.116999999999999216e-03	-3.148154924446803782e-01	-4.926633422769477910e+00
-8.115999999999999950e-03	-3.222607904785523281e-01	-4.941538117534905794e+00
