# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-1.638399999999999926e-03	1.382712459278123918e+00	-4.956442812300333678e+00
-1.638200000000000029e-03	1.360376565176508068e+00	-4.945264291226262543e+00
-1.637999999999999916e-03	1.390157757311995868e+00	-4.945264291226262543e+00
-1.637800000000000020e-03	1.375267161244251968e+00	-4.941538117534905794e+00
-1.637599999999999906e-03	1.378989810261187943e+00	-4.937811943843549045e+00
-1.637400000000000010e-03	1.375267161244251968e+00	-4.937811943843549045e+00
-1.637199999999999897e-03	1.371544512227315993e+00	-4.941538117534905794e+00
-1.637000000000000000e-03	1.393880406328931842e+00	-4.941538117534905794e+00
-1.636799999999999887e-03	1.367821863210380018e+00	-4.948990464917620180e+00
-1.636599999999999991e-03	1.352931267142636118e+00	-4.945264291226262543e+00
-1.636399999999999877e-03	1.349208618125700143e+00	-4.952716638608976929e+00
-1.636199999999999981e-03	1.364099214193444043e+00	-4.952716638608976929e+00
-1.635999999999999868e-03	1.371544512227315993e+00	-4.952716638608976929e+00
-1.635799999999999971e-03	1.345485969108764168e+00	-4.937811943843549045e+00
-1.635599999999999858e-03	1.349208618125700143e+00	-4.952716638608976929e+00
-1.635399999999999961e-03	1.349208618125700143e+00	-4.956442812300333678e+00
-1.635199999999999848e-03	1.349208618125700143e+00	-4.948990464917620180e+00
-1.634999999999999952e-03	1.330595373041020268e+00	-4.934085770152192296e+00
-1.634799999999999838e-03	1.330595373041020268e+00	-4.948990464917620180e+00
-1.634599999999999942e-03	1.334318022057956243e+00	-4.941538117534905794e+00
-1.634399999999999829e-03	1.330595373041020268e+00	-4.937811943843549045e+00
-1.634199999999999932e-03	1.311982127956340394e+00	-4.952716638608976929e+00
-1.633999999999999819e-03	1.308259478939404419e+00	-4.956442812300333678e+00
-1.633799999999999922e-03	1.308259478939404419e+00	-4.937811943843549045e+00
-1.633600000000000026e-03	1.311982127956340394e+00	-4.963895159683048064e+00
-1.633399999999999913e-03	1.315704776973276369e+00	-4.948990464917620180e+00
-1.633200000000000016e-03	1.319427425990212344e+00	-4.956442812300333678e+00
-1.632999999999999903e-03	1.304536829922468444e+00	-4.952716638608976929e+00
-1.632800000000000007e-03	1.319427425990212344e+00	-4.945264291226262543e+00
-1.632599999999999893e-03	1.300814180905532469e+00	-4.930359596460834659e+00
-1.632399999999999997e-03	1.315704776973276369e+00	-4.948990464917620180e+00
-1.632199999999999884e-03	1.315704776973276369e+00	-4.963895159683048064e+00
-1.631999999999999987e-03	1.285923584837788569e+00	-4.956442812300333678e+00
-1.631799999999999874e-03	1.304536829922468444e+00	-4.945264291226262543e+00
-1.631599999999999977e-03	1.282200935820852594e+00	-4.960168985991690427e+00
-1.631399999999999864e-03	1.285923584837788569e+00	-4.956442812300333678e+00
-1.631199999999999968e-03	1.267310339753108694e+00	-4.967621333374404813e+00
-1.630999999999999854e-03	1.282200935820852594e+00	-4.941538117534905794e+00
-1.630799999999999958e-03	1.271032988770044669e+00	-4.941538117534905794e+00
-1.630599999999999845e-03	1.267310339753108694e+00	-4.948990464917620180e+00
-1.630399999999999948e-03	1.263587690736172719e+00	-4.952716638608976929e+00
-1.630199999999999835e-03	1.256142392702300770e+00	-4.945264291226262543e+00
-1.629999999999999939e-03	1.267310339753108694e+00	-4.956442812300333678e+00
-1.629799999999999825e-03	1.271032988770044669e+00	-4.945264291226262543e+00
-1.629599999999999929e-03	1.271032988770044669e+00	-4.963895159683048064e+00
-1.629400000000000032e-03	1.252419743685364795e+00	-4.945264291226262543e+00
-1.629199999999999919e-03	1.256142392702300770e+00	-4.960168985991690427e+00
-1.629000000000000023e-03	1.263587690736172719e+00	-4.956442812300333678e+00
-1.628799999999999909e-03	1.248697094668428820e+00	-4.941538117534905794e+00
-1.628600000000000013e-03	1.226361200566812970e+00	-4.952716638608976929e+00
-1.628399999999999900e-03	1.252419743685364795e+00	-4.945264291226262543e+00
-1.628200000000000003e-03	1.241251796634556870e+00	-4.956442812300333678e+00
-1.627999999999999890e-03	1.211470604499069070e+00	-4.941538117534905794e+00
-1.627799999999999993e-03	1.218915902532941020e+00	-4.960168985991690427e+00
-1.627599999999999880e-03	1.222638551549876995e+00	-4.941538117534905794e+00
-1.627399999999999984e-03	1.230083849583748945e+00	-4.956442812300333678e+00
-1.627199999999999870e-03	1.185412061380517246e+00	-4.945264291226262543e+00
-1.626999999999999974e-03	1.207747955482133095e+00	-4.952716638608976929e+00
-1.626799999999999861e-03	1.189134710397453221e+00	-4.945264291226262543e+00
-1.626599999999999964e-03	1.200302657448261145e+00	-4.934085770152192296e+00
-1.626399999999999851e-03	1.207747955482133095e+00	-4.963895159683048064e+00
-1.626199999999999955e-03	1.204025306465197120e+00	-4.934085770152192296e+00
-1.625999999999999841e-03	1.196580008431325171e+00	-4.934085770152192296e+00
-1.625799999999999945e-03	1.170521465312773346e+00	-4.945264291226262543e+00
-1.625599999999999832e-03	1.192857359414389196e+00	-4.948990464917620180e+00
-1.625399999999999935e-03	1.170521465312773346e+00	-4.945264291226262543e+00
-1.625199999999999822e-03	1.177966763346645296e+00	-4.960168985991690427e+00
-1.624999999999999925e-03	1.163076167278901396e+00	-4.945264291226262543e+00
-1.624800000000000029e-03	1.163076167278901396e+00	-4.952716638608976929e+00
-1.624599999999999916e-03	1.166798816295837371e+00	-4.956442812300333678e+00
-1.624400000000000019e-03	1.151908220228093471e+00	-4.967621333374404813e+00
-1.624199999999999906e-03	1.148185571211157496e+00	-4.952716638608976929e+00
-1.624000000000000010e-03	1.148185571211157496e+00	-4.960168985991690427e+00
-1.623799999999999896e-03	1.148185571211157496e+00	-4.922907249078121161e+00
-1.623600000000000000e-03	1.163076167278901396e+00	-4.945264291226262543e+00
-1.623399999999999887e-03	1.137017624160349571e+00	-4.948990464917620180e+00
